Trial,Bake time (min),Initial mass (g),Final mass (g),dmass (g),TrialName,Moisture loss,Trial2,dt,PeakForce_N,MaxForce_N,Threshold_N,FractureEnergy_J
1,6.5,3,1.9,1.1,Chip 1.fig,0.366666667,1,0.775,6.862428699,8.77521801,1.755043602,0.010737111
2,6.5,2.9,2,0.9,Chip 2.fig,0.310344828,2,0.5375,24.09512869,24.09512869,4.819025738,0.032746026
3,6.5,2.9,2.2,0.7,Chip 3.fig,0.24137931,3,2.8125,5.03510287,12.16733049,2.433466099,0.046114441
4,6.5,3.2,2,1.2,Chip 4.fig,0.375,4,1.875,10.71933223,14.20877854,2.841755708,0.027556812
5,6.5,2.9,1.9,1,Chip 5.fig,0.344827586,5,2.4625,8.220930975,16.55751013,3.311502026,0.048470542
6,6.5,2.8,1.9,0.9,Chip 6.fig,0.321428571,6,1.3125,4.460701574,12.21411801,2.442823602,0.019879259
7,6.5,2.8,1.8,1,Chip 7.fig,0.357142857,7,0.525,5.47124619,18.86573869,3.773147739,0.022646462
8,6.5,2.7,2.1,0.6,Chip 8.fig,0.222222222,8,2.15,6.36822272,16.08755452,3.217510903,0.041155698
9,6.5,2.4,1.7,0.7,Chip 9.fig,0.291666667,9,1.1875,2.822037248,12.02875932,2.405751865,0.02385004
10,6.5,2.9,2,0.9,Chip 10.fig,0.310344828,10,0.45,25.98804546,25.98804546,5.197609092,0.028430359
11,6,2.6,1.9,0.7,Chip 21.fig,0.269230769,21,1.6125,4.33972089,6.57947845,1.31589569,0.009270925
12,6,3,2,1,Chip 22.fig,0.333333333,22,1.15,4.219708591,12.79604881,2.559209761,0.021628849
13,6,2.8,2,0.8,Chip 23.fig,0.285714286,23,1.5625,12.8976126,16.65735722,3.331471444,0.036969908
14,6,2.9,1.7,1.2,Chip 24.fig,0.413793103,24,1.1375,3.27183685,8.89666318,1.779332636,0.010507964
15,6,2.7,1.9,0.8,Chip 25.fig,0.296296296,25,1.7125,2.164724477,7.109888688,1.421977738,0.0154869
16,6,2.8,2,0.8,Chip 26.fig,0.285714286,26,1.1,4.588524703,7.983672044,1.596734409,0.021475383
17,6,3.1,2,1.1,Chip 27.fig,0.35483871,27,2.3375,15.12213089,22.12613273,4.425226546,0.061479462
18,6,2.8,1.8,1,Chip 28.fig,0.357142857,28,1.375,2.939911592,14.57366031,2.914732062,0.02406065
19,6,2.8,1.8,1,Chip 29.fig,0.357142857,29,1.9,16.56231268,16.56231268,3.312462535,0.027313289
20,6,3.3,2.1,1.2,Chip 30.fig,0.363636364,30,1.275,4.499712229,17.2013322,3.44026644,0.037833288
21,5.5,3,2.1,0.9,Chip 31.fig,0.3,31,1.2625,19.19633543,19.19633543,3.839267085,0.021791648
22,5.5,3.1,2,1.1,Chip 32.fig,0.35483871,32,1.375,7.661873528,11.58305279,2.316610559,0.016487135
23,5.5,2.8,1.8,1,Chip 33.fig,0.357142857,33,2.375,4.544044872,18.49545176,3.699090352,0.035567645
24,5.5,3.1,2,1.1,Chip 34.fig,0.35483871,34,1.9125,19.04497556,19.96647036,3.993294071,0.032028845
25,5.5,2.8,1.8,1,Chip 35.fig,0.357142857,35,2.325,7.014446546,29.9763867,5.995277339,0.079550566
