Chip No.,Bake_time,Moisture_pct,F_peak_N,F_max_N,delta_c_mm,G_raw_J,G_c_Jm2,E_MPa,sigma_c_MPa,K_Ic
1,4.0,19.0,23.656,47.8266,1.4375,0.1695,239.7349,877.4576,1.2538,458647.1459
2,4.0,30.0,35.224,41.8336,2.3125,0.1362,192.7052,812.175,1.867,395613.8889
3,4.0,28.0,51.18,52.8746,0.4375,0.299,422.9908,6237.5625,2.7127,1624325.0377
4,4.0,24.0,43.431,43.6109,2.75,0.1738,245.8253,842.0925,2.302,454980.9132
5,4.0,21.0,23.239,39.8011,2.0,0.3248,459.4943,619.5554,1.2317,533556.1381
6,4.0,17.0,31.367,40.1111,1.9375,0.1693,239.4834,863.2249,1.6625,454673.5165
7,4.0,21.0,18.91,37.8598,1.25,0.2489,352.1701,806.6297,1.0023,532983.0184
8,4.0,30.0,35.731,36.2404,2.25,0.1204,170.3826,846.7503,1.8938,379830.9404
9,4.0,31.0,37.804,37.8039,2.875,0.1622,229.514,701.1204,2.0037,401144.5664
10,4.0,19.0,19.034,39.7039,0.875,0.1217,172.171,1159.8844,1.0089,446876.3549
11,3.5,26.0,26.353,34.1136,1.875,0.1261,178.3529,749.4134,1.3968,365595.4474
12,3.5,22.0,40.135,40.1348,4.1875,0.2519,356.3985,511.0473,2.1273,426774.5514
13,3.5,25.0,36.527,41.6456,2.375,0.1613,228.2149,820.0552,1.936,432607.0381
14,3.5,17.0,48.426,48.4261,7.375,0.3324,470.2407,350.1138,2.5667,405755.7824
15,3.5,32.0,48.29,48.2903,3.0625,0.1378,194.9007,840.7634,2.5595,404802.9037
16,3.5,18.0,50.915,50.9149,6.75,0.3306,467.7673,402.1931,2.6986,433742.7606
17,3.5,29.0,62.43,62.4301,4.125,0.1844,260.9003,806.9787,3.309,458847.4175
18,3.5,19.0,54.78,54.7799,7.375,0.3106,439.444,396.0524,2.9035,417184.4442
19,3.5,26.0,32.297,32.297,2.0,0.1077,152.3744,861.0431,1.7118,362216.6452
20,3.5,17.0,46.645,46.6454,4.875,0.1981,280.2257,510.1797,2.4723,378107.7398
21,4.5,21.0,47.071,47.0706,3.375,0.1739,245.9511,743.6564,2.4949,427671.7588
22,4.5,34.0,54.249,54.2493,3.5,0.1338,189.2687,826.4496,2.8754,395500.9962
23,4.5,27.0,35.864,35.8644,2.5,0.1412,199.7695,764.9119,1.9009,390904.1516
24,4.5,13.0,38.948,39.6959,2.6875,0.258,364.9925,772.7328,2.0644,531075.9952
25,4.5,24.0,33.073,35.546,2.3125,0.1462,206.8875,762.5785,1.753,397200.1539
26,4.5,14.0,22.902,33.214,1.9375,0.2623,371.0729,630.2667,1.2139,483606.1557
27,4.5,25.0,39.754,39.7542,2.8125,0.1199,169.694,753.6696,2.1071,357621.5826
28,4.5,14.0,47.932,48.3892,6.0625,0.3313,468.6603,421.5669,2.5405,444490.3614
29,4.5,26.0,25.351,32.3662,1.75,0.1202,170.0274,772.4133,1.3437,362396.7306
30,4.5,18.0,42.125,42.1252,3.4375,0.2061,291.5398,653.4162,2.2328,436459.4294
31,5.0,33.0,40.542,44.6354,2.8125,0.1669,236.1808,768.6088,2.1488,426064.0914
32,5.0,19.0,18.974,38.3923,1.6875,0.1684,238.2811,599.5257,1.0057,377962.46
33,5.0,24.0,17.232,29.3766,1.125,0.1024,144.8811,816.725,0.9133,343988.3489
35,5.0,29.0,17.987,30.674,0.0625,0.1418,200.546,15345.1594,0.9534,1754254.9094
36,5.0,17.0,34.276,45.6213,2.4375,0.1588,224.6732,749.7875,1.8167,410435.3613
37,5.0,14.0,19.123,22.8332,2.3125,0.107,151.3312,440.9273,1.0136,258313.9081
38,5.0,14.0,21.138,26.4849,1.4375,0.1158,163.8454,784.059,1.1204,358419.3804
39,5.0,26.0,24.839,34.6226,2.0,0.198,280.1584,662.2116,1.3165,430725.1178
40,5.0,16.0,29.935,30.4859,2.0,0.0917,129.708,798.0718,1.5866,321739.4475
41,5.5,21.0,41.813,41.8134,0.125,0.1166,164.97,17835.8578,2.2162,1715336.9552
43,5.5,36.0,13.14,36.7994,0.625,0.1877,265.5902,1121.0063,0.6965,545644.8318
44,5.5,27.0,19.059,41.3712,0.9375,0.1515,214.3789,1083.9806,1.0102,482060.7021
45,5.5,30.0,26.893,50.4102,2.125,0.2401,339.6515,674.7968,1.4254,478743.9396
46,5.5,32.0,16.645,30.8409,1.5625,0.1082,153.0206,568.0106,0.8822,294817.4076
47,5.5,30.0,36.407,40.5477,2.4375,0.1461,206.687,796.4031,1.9297,405716.9055
48,5.5,23.0,26.841,36.8626,1.6875,0.1553,219.6432,848.101,1.4227,431601.1923
49,5.5,27.0,19.976,30.0626,1.375,0.1469,207.8671,774.6375,1.0588,401275.0616
50,5.5,30.0,27.303,36.6823,1.6875,0.1288,182.2145,862.699,1.4471,396479.8235
51,6.0,30.0,42.003,42.0027,2.5625,0.131,185.2824,873.9954,2.2263,402412.672
53,6.0,20.0,34.432,53.5671,2.0625,0.2983,422.0285,890.1455,1.825,612916.5949
54,6.0,28.0,51.037,51.0365,3.25,0.1183,167.4123,837.3258,2.7051,374404.3661
55,6.0,26.0,50.729,55.9547,4.25,0.2263,320.1224,636.4438,2.6888,451375.6117
56,6.0,29.0,53.067,53.0672,3.375,0.1407,199.0744,838.3849,2.8127,408535.1686
57,6.0,30.0,25.294,33.5463,2.0625,0.1568,221.7588,653.9074,1.3407,380801.3795
58,6.0,32.0,30.412,42.7411,2.1875,0.2125,300.5903,741.2925,1.6119,472043.7888
59,6.0,27.0,25.918,43.494,1.8125,0.1826,258.2807,762.4584,1.3737,443766.022
60,6.0,32.0,27.505,30.6682,0.375,0.1146,162.127,3910.8672,1.4578,796277.0678
61,3.0,22.0,24.829,42.9038,1.75,0.3033,429.0186,756.5086,1.316,569698.3624
62,3.0,27.0,53.642,53.6423,3.8125,0.1794,253.7536,750.2185,2.8432,436314.8835
63,3.0,19.0,37.379,37.3785,4.0625,0.3039,429.9785,490.5994,1.9812,459289.8914
64,3.0,21.0,29.752,39.529,2.375,0.1393,197.0123,667.952,1.5769,362759.9305
65,3.0,21.0,19.757,48.7572,1.4375,0.3286,464.8226,732.8344,1.0472,583642.0105
66,3.0,30.0,33.414,50.1266,1.875,0.206,291.3925,950.2106,1.771,526197.906
67,3.0,20.0,21.171,36.5271,1.75,0.2106,297.9985,645.0539,1.1221,438434.8163
68,3.0,33.0,41.985,41.9855,2.8125,0.146,206.4795,795.9656,2.2253,405401.7301
69,3.0,28.0,25.776,26.126,1.75,0.0891,126.0515,785.3625,1.3662,314636.5524
70,3.0,29.0,47.068,47.0676,3.125,0.15,212.2307,803.0978,2.4947,412846.1855
